day, rank, month
228, 102,  8
229,  44,  8
230, 154,  8
231, 141,  8
232, 311,  8
233, 344,  8
234, 291,  8
235, 339,  8
236, 116,  8
237,  36,  8
238, 286,  8
239, 245,  8
240, 352,  8
241, 167,  8
242,  61,  8
243, 333,  8
244,  11,  8
245, 225,  9
246, 161,  9
247,  49,  9
248, 232,  9
249,  82,  9
250,  6,  9
251,  8,  9
252, 184,  9
253, 263,  9
254,  71,  9
255, 158,  9
256, 242,  9
257, 175,  9
258,  1,  9
259, 113,  9
260, 207,  9
261, 255,  9
262, 246,  9
263, 177,  9
264,  63,  9
265, 204,  9
266, 160,  9
267, 119,  9
268, 195,  9
269, 149,  9
270,  18,  9
271, 233,  9
272, 257,  9
273, 151,  9
274, 315,  9
275, 359, 10
276, 125, 10
277, 244, 10
278, 202, 10
279,  24, 10
280,  87, 10
281, 234, 10
282, 283, 10
283, 342, 10
284, 220, 10
285, 237, 10
286,  72, 10
287, 138, 10
288, 294, 10
289, 171, 10
290, 254, 10
291, 288, 10
292,  5, 10
293, 241, 10
294, 192, 10
295, 243, 10
296, 117, 10
297, 201, 10
298, 196, 10
299, 176, 10
300,  7, 10
301, 264, 10
302,  94, 10
303, 229, 10
304,  38, 10
305,  79, 10
306,  19, 11
307,  34, 11
308, 348, 11
309, 266, 11
310, 310, 11
311,  76, 11
312,  51, 11
313,  97, 11
314,  80, 11
315, 282, 11
316,  46, 11
317,  66, 11
318, 126, 11
319, 127, 11
320, 131, 11
321, 107, 11
322, 143, 11
323, 146, 11
324, 203, 11
325, 185, 11
326, 156, 11
327,  9, 11
328, 182, 11
329, 230, 11
330, 132, 11
331, 309, 11
332,  47, 11
333, 281, 11
334,  99, 11
335, 174, 11
336, 129, 12
337, 328, 12
338, 157, 12
339, 165, 12
340,  56, 12
341,  10, 12
342,  12, 12
343, 105, 12
344,  43, 12
345,  41, 12
346,  39, 12
347, 314, 12
348, 163, 12
349,  26, 12
350, 320, 12
351,  96, 12
352, 304, 12
353, 128, 12
354, 240, 12
355, 135, 12
356,  70, 12
357,  53, 12
358, 162, 12
359,  95, 12
360,  84, 12
361, 173, 12
362,  78, 12
363, 123, 12
364,  16, 12
365,  3, 12
366, 100, 12

