day, rank, month
186, 287,  7
187, 164,  7
188, 365,  7
189, 106,  7
190,  1,  7
191, 158,  7
192, 174,  7
193, 257,  7
194, 349,  7
195, 156,  7
196, 273,  7
197, 284,  7
198, 341,  7
199,  90,  7
200, 316,  7
201, 120,  7
202, 356,  7
203, 282,  7
204, 172,  7
205, 360,  7
206,  3,  7
207,  47,  7
208,  85,  7
209, 190,  7
210,  4,  7
211,  15,  7
212, 221,  7
213, 326,  8
214, 102,  8
215, 279,  8
216, 300,  8
217,  64,  8
218, 251,  8
219, 263,  8
220,  49,  8
221, 125,  8
222, 359,  8
223, 230,  8
224, 320,  8
225,  58,  8
226, 103,  8
227, 270,  8
228, 329,  8
229, 343,  8
230, 109,  8
231,  83,  8
232,  69,  8
233,  50,  8
234, 250,  8
235,  10,  8
236, 274,  8
237, 364,  8
238,  91,  8
239, 232,  8
240, 248,  8
241,  32,  8
242, 167,  8
243, 275,  8
244, 283,  9
245, 161,  9
246, 183,  9
247, 231,  9
248, 295,  9
249,  21,  9
250, 265,  9
251, 108,  9
252, 313,  9
253, 130,  9
254, 288,  9
255, 314,  9
256, 238,  9
257, 247,  9
258, 291,  9
259, 139,  9
260, 200,  9
261, 333,  9
262, 228,  9
263, 261,  9
264,  68,  9
265,  88,  9
266, 206,  9
267, 237,  9
268, 107,  9
269,  93,  9
270, 338,  9
271, 309,  9
272, 303,  9
273,  18,  9
274, 306, 10
275, 191, 10
276, 134, 10
277, 266, 10
278, 166, 10
279,  78, 10
280, 131, 10
281,  45, 10
282, 302, 10
283, 160, 10
284,  84, 10
285,  70, 10
286,  92, 10
287, 115, 10
288, 310, 10
289,  34, 10
290, 290, 10
291, 340, 10
292,  74, 10
293, 196, 10
294,  5, 10
295,  36, 10
296, 339, 10
297, 149, 10
298,  17, 10
299, 184, 10
300, 318, 10
301,  28, 10
302, 259, 10
303, 332, 10
304, 311, 10
305, 243, 11
306, 205, 11
307, 294, 11
308,  39, 11
309, 286, 11
310, 245, 11
311,  72, 11
312, 119, 11
313, 176, 11
314,  63, 11
315, 123, 11
316, 255, 11
317, 272, 11
318,  11, 11
319, 362, 11
320, 197, 11
321,  6, 11
322, 280, 11
323, 252, 11
324,  98, 11
325,  35, 11
326, 253, 11
327, 193, 11
328,  81, 11
329,  23, 11
330,  52, 11
331, 168, 11
332, 324, 11
333, 100, 11
334,  67, 11
335, 347, 12
336, 321, 12
337, 110, 12
338, 305, 12
339,  27, 12
340, 198, 12
341, 162, 12
342, 323, 12
343, 114, 12
344, 204, 12
345,  73, 12
346,  19, 12
347, 151, 12
348, 348, 12
349,  87, 12
350,  41, 12
351, 315, 12
352, 208, 12
353, 249, 12
354, 218, 12
355, 181, 12
356, 194, 12
357, 219, 12
358,  2, 12
359, 361, 12
360,  80, 12
361, 239, 12
362, 128, 12
363, 145, 12
364, 192, 12
365, 126, 12

